,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position,value
1,Fernando de Jesus,Arsenal,4,1.3,66,600,1237513,6.4,42,Forward,6.4
2,dos Santos Magalhães,Arsenal,2,27.9,63,1898,4272883,14.9,94,Defender,14.9
3,Havertz,Arsenal,4,7.9,78,1839,2578733,12.3,96,Forward,12.3
5,Timber,Arsenal,2,4.3,56,1755,1234325,13.0,73,Defender,13.0
6,Frello Filho,Arsenal,3,0.2,47,456,29304,2.8,13,Midfielder,2.8
7,Kiwior,Arsenal,2,0.2,48,323,25418,2.7,13,Defender,2.7
8,Martinelli Silva,Arsenal,3,3.3,67,1452,1117018,13.3,89,Midfielder,13.3
9,Nwaneri,Arsenal,3,0.7,45,281,156318,6.7,30,Midfielder,6.7
10,Ødegaard,Arsenal,3,4.9,82,1281,884965,7.3,60,Midfielder,7.3
11,Raya Martin,Arsenal,1,25.8,55,2160,2619301,16.9,93,Goalkeeper,16.9
12,Rice,Arsenal,3,2.6,62,1739,253274,11.1,69,Midfielder,11.1
13,Saka,Arsenal,3,8.9,102,1268,5221993,10.5,107,Midfielder,10.5
14,Saliba,Arsenal,2,21.7,62,1919,2197874,14.0,87,Defender,14.0
15,Partey,Arsenal,3,0.8,49,1851,276619,15.5,76,Midfielder,15.5
16,Tierney,Arsenal,2,0.0,43,16,4068,0.5,2,Defender,0.5
17,Takehiro,Arsenal,2,0.0,48,6,1656,0.2,1,Defender,0.2
18,Trossard,Arsenal,3,2.5,68,1451,591431,12.5,85,Midfielder,12.5
19,White,Arsenal,2,2.1,61,694,146083,4.4,27,Defender,4.4
20,Zinchenko,Arsenal,2,0.9,48,238,92024,3.5,17,Defender,3.5
21,Murara Neto,Arsenal,1,0.8,41,180,88428,1.7,7,Goalkeeper,1.7
22,Sterling,Arsenal,3,0.8,67,213,49302,1.8,12,Midfielder,1.8
23,Calafiori,Arsenal,2,1.3,58,750,226405,5.9,34,Defender,5.9
24,Lewis-Skelly,Arsenal,3,0.3,45,549,47128,3.8,17,Midfielder,3.8
25,Merino,Arsenal,3,0.1,60,759,25127,6.5,39,Midfielder,6.5
32,Arteta,Arsenal,5,3.5,15,0,5829,13.3,20,Manager,13.3
34,Bailey,Aston Villa,3,0.8,62,1028,165506,7.1,44,Midfielder,7.1
35,Barkley,Aston Villa,3,0.2,52,544,25965,7.7,40,Midfielder,7.7
37,Buendía Stati,Aston Villa,3,0.1,51,89,6966,2.2,11,Midfielder,2.2
38,Cash,Aston Villa,2,1.1,44,1258,196167,8.6,38,Defender,8.6
41,Santos Silva,Aston Villa,2,0.3,45,828,50956,4.7,21,Defender,4.7
42,Digne,Aston Villa,2,6.9,46,1770,1699845,13.7,63,Defender,13.7
44,Durán,Aston Villa,4,2.1,57,622,1376643,9.3,53,Forward,9.3
48,Kamara,Aston Villa,3,0.0,50,1033,6632,5.6,28,Midfielder,5.6
50,Konsa Ngoyo,Aston Villa,2,6.6,44,1901,1018061,11.4,50,Defender,11.4
51,Maatsen,Aston Villa,2,1.2,45,445,80986,4.2,19,Defender,4.2
53,Martínez Romero,Aston Villa,1,11.4,50,2115,1222470,13.0,65,Goalkeeper,13.0
54,McGinn,Aston Villa,3,0.6,52,1360,95695,8.5,44,Midfielder,8.5
55,Mings,Aston Villa,2,0.1,44,467,21548,3.6,16,Defender,3.6
56,Nedeljković,Aston Villa,2,0.7,39,121,256190,1.3,5,Defender,1.3
57,Olsen,Aston Villa,1,0.1,45,45,10698,0.2,1,Goalkeeper,0.2
58,Torres,Aston Villa,2,0.7,42,1549,233307,7.6,32,Defender,7.6
59,Ramsey,Aston Villa,3,0.3,54,998,59639,7.6,41,Midfielder,7.6
60,Rogers,Aston Villa,3,24.1,56,1900,4704084,17.3,97,Midfielder,17.3
63,Tielemans,Aston Villa,3,1.0,55,2041,265026,12.0,66,Midfielder,12.0
64,Watkins,Aston Villa,4,16.5,89,1639,3510408,13.0,116,Forward,13.0
65,Disasi,Aston Villa,2,0.4,42,363,68447,5.2,22,Defender,5.2
66,Onana,Aston Villa,3,2.3,48,1078,1439561,8.5,41,Midfielder,8.5
67,Rashford,Aston Villa,3,2.5,66,975,743166,8.2,54,Midfielder,8.2
68,Bogarde,Aston Villa,2,0.3,40,348,56393,1.0,4,Defender,1.0
74,Malen,Aston Villa,3,0.1,55,70,9636,0.4,2,Midfielder,0.4
75,García,Aston Villa,2,0.0,45,45,1245,0.2,1,Defender,0.2
76,Emery,Aston Villa,5,5.3,8,0,24797,5.0,4,Manager,5.0
78,Aarons,Bournemouth,2,0.1,43,84,12506,1.9,8,Defender,1.9
79,Adams,Bournemouth,3,0.1,49,861,10588,6.5,32,Midfielder,6.5
81,Brooks,Bournemouth,3,0.0,49,561,7388,7.3,36,Midfielder,7.3
82,Christie,Bournemouth,3,0.2,49,1750,35170,11.4,56,Midfielder,11.4
83,Cook,Bournemouth,3,0.2,50,1941,55239,11.8,59,Midfielder,11.8
84,Ünal,Bournemouth,4,0.1,54,330,46779,5.9,32,Forward,5.9
87,Hill,Bournemouth,2,0.6,39,176,101107,3.3,13,Defender,3.3
88,Jebbison,Bournemouth,4,1.1,45,53,425734,1.1,5,Forward,1.1
89,Kerkez,Bournemouth,2,11.7,49,2087,1622812,18.4,90,Defender,18.4
90,Kluivert,Bournemouth,3,19.3,59,1528,2797634,20.8,123,Midfielder,20.8
92,Ouattara,Bournemouth,3,1.6,51,1235,211261,16.9,86,Midfielder,16.9
94,Billing,Bournemouth,3,0.0,48,176,6119,2.1,10,Midfielder,2.1
95,Scott,Bournemouth,3,0.0,47,258,2491,2.3,11,Midfielder,2.3
96,Semenyo,Bournemouth,3,7.4,56,2016,2683093,18.2,102,Midfielder,18.2
97,Senesi,Bournemouth,2,0.3,46,917,66596,4.6,21,Defender,4.6
98,Sinisterra,Bournemouth,3,0.1,48,203,68334,4.0,19,Midfielder,4.0
99,Smith,Bournemouth,2,0.1,44,1032,27794,7.7,34,Defender,7.7
100,Tavernier,Bournemouth,3,0.2,54,1172,92871,10.4,56,Midfielder,10.4
101,Travers,Bournemouth,1,0.2,44,450,19149,4.3,19,Goalkeeper,4.3
102,Zabarnyi,Bournemouth,2,0.6,44,2160,96982,14.5,64,Defender,14.5
103,Arrizabalaga,Bournemouth,1,2.3,45,1530,452120,14.2,64,Goalkeeper,14.2
104,Huijsen,Bournemouth,2,4.2,44,1240,613770,14.8,65,Defender,14.8
105,Araujo Zúñiga,Bournemouth,2,0.1,43,352,10933,1.9,8,Defender,1.9
107,de Lima Barbosa,Bournemouth,4,0.6,56,1368,912913,13.9,78,Forward,13.9
109,Winterburn,Bournemouth,3,0.0,45,9,2527,0.4,2,Midfielder,0.4
111,Rees-Dottin,Bournemouth,4,0.1,45,1,15144,0.2,1,Forward,0.2
117,Silcott-Duberry,Bournemouth,3,0.0,45,1,267,0.2,1,Midfielder,0.2
118,Iraola,Bournemouth,5,6.9,11,0,9932,11.8,13,Manager,11.8
119,Ajer,Brentford,2,0.2,44,792,32816,2.5,11,Defender,2.5
121,Collins,Brentford,2,2.1,45,2160,515159,16.0,72,Defender,16.0
122,Damsgaard,Brentford,3,1.4,50,1792,373185,18.0,90,Midfielder,18.0
124,Flekken,Brentford,1,8.9,44,2015,1272108,15.9,70,Goalkeeper,15.9
125,Henry,Brentford,2,0.0,43,3,2067,0.2,1,Defender,0.2
127,Janelt,Brentford,3,0.2,49,1717,111767,11.8,58,Midfielder,11.8
128,Jensen,Brentford,3,0.1,53,698,7408,4.9,26,Midfielder,4.9
129,Ji-soo,Brentford,2,0.4,39,27,48471,0.5,2,Defender,0.5
130,Konak,Brentford,3,0.1,44,19,9691,1.1,5,Midfielder,1.1
131,Lewis-Potter,Brentford,3,0.1,50,1917,27112,12.6,63,Midfielder,12.6
132,Mbeumo,Brentford,3,35.3,79,2155,7337973,18.9,149,Midfielder,18.9
133,Mee,Brentford,2,0.3,42,175,27444,1.9,8,Defender,1.9
134,Nørgaard,Brentford,3,0.2,48,1695,54323,10.8,52,Midfielder,10.8
135,Onyeka,Brentford,3,0.0,49,23,648,0.4,2,Midfielder,0.4
